Country,Region/State,Zip/Postal Code,Order Subtotal (and above),Shipping Price
US,MA,2574,1,15
US,MA,2575,1,15
US,MA,2576,1,15
US,MA,2584,1,15
US,MA,2601,1,15
US,MA,2630,1,15
US,MA,2631,1,15
US,MA,2632,1,15
US,MA,2633,1,15
US,MA,2634,1,15
US,MA,2635,1,15
US,MA,2637,1,15
US,MA,2638,1,15
US,MA,2639,1,15
US,MA,2641,1,15
US,MA,2642,1,15
US,MA,2643,1,15
US,MA,2644,1,15
US,MA,2645,1,15
US,MA,2646,1,15
US,MA,2647,1,15
US,MA,2648,1,15
US,MA,2649,1,15
US,MA,2650,1,15
US,MA,2651,1,15
US,MA,2652,1,15
US,MA,2653,1,15
US,MA,2655,1,15
US,MA,2657,1,15
US,MA,2659,1,15
US,MA,2660,1,15
US,MA,2661,1,15
US,MA,2662,1,15
US,MA,2663,1,15
US,MA,2664,1,15
US,MA,2666,1,15
US,MA,2667,1,15
US,MA,2668,1,15
US,MA,2669,1,15
US,MA,2670,1,15
US,MA,2671,1,15
US,MA,2672,1,15
US,MA,2673,1,15
US,MA,2675,1,15
US,MA,2702,1,14
US,MA,2703,1,14
US,MA,2712,1,14
US,MA,2713,1,14
US,MA,2714,1,14
US,MA,2715,1,14
US,MA,2717,1,14
US,MA,2718,1,14
US,MA,2719,1,14
US,MA,2720,1,14
US,MA,2721,1,14
US,MA,2722,1,14
US,MA,2723,1,14
US,MA,2724,1,14
US,MA,2725,1,14
US,MA,2726,1,14
US,MA,2738,1,14
US,MA,2739,1,14
US,MA,2740,1,14
US,MA,2741,1,14
US,MA,2742,1,14
US,MA,2743,1,14
US,MA,2744,1,14
US,MA,2745,1,14
US,MA,2746,1,14
US,MA,2747,1,14
US,MA,2748,1,14
US,MA,2760,1,14
US,MA,2761,1,14
US,MA,2762,1,14
US,MA,2763,1,14
US,MA,2764,1,14
US,MA,2766,1,14
US,MA,2767,1,14
US,MA,2768,1,14
US,MA,2769,1,14
US,MA,2770,1,14
US,MA,2771,1,14
US,MA,2777,1,14
US,MA,2779,1,14
US,MA,2780,1,14
US,MA,2783,1,14
US,MA,2790,1,14
US,MA,2791,1,14
US,RI,2801,1,14
US,RI,2802,1,14
US,RI,2804,1,14
US,RI,2806,1,14
US,RI,2807,1,14
US,RI,2808,1,14
US,RI,2809,1,14
US,RI,2812,1,14
US,RI,2813,1,14
US,RI,2814,1,14
US,RI,2815,1,14
US,RI,2816,1,14
US,RI,2817,1,14
US,RI,2818,1,14
US,RI,2822,1,14
US,RI,2823,1,14
US,RI,2824,1,14
US,RI,2825,1,14
US,RI,2826,1,14
US,RI,2827,1,14
US,RI,2828,1,14
US,RI,2829,1,14
US,RI,2830,1,14
US,RI,2831,1,14
US,RI,2832,1,14
US,RI,2833,1,14
US,RI,2835,1,14
US,RI,2836,1,14
US,RI,2837,1,14
US,RI,2838,1,14
US,RI,2839,1,14
US,RI,2840,1,14
US,RI,2841,1,14
US,RI,2842,1,14
US,RI,2852,1,14
US,RI,2857,1,14
US,RI,2858,1,14
